"","fold.change","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","parent","Genbank","name_wp","CDS","inference","gene_description","protein","trans_table","sig","fold_change_scaled"
"1",0.635393978,"cds0",1526.430156,-0.654276678,0.146288824,-4.472499412,7.73e-06,0.00014214,"ID=cds0","Parent=gene0","Dbxref=Genbank:WP_014063969.1","Name=WP_014063969.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014326504.1","product=type I glyceraldehyde-3-phosphate dehydrogenase","protein_id=WP_014063969.1","transl_table=11","Significant",1.57382668804582
"2",1.911491172,"cds1006",172.3919546,0.934698537,0.230851904,4.048909801,5.15e-05,0.000665449,"ID=cds1006","Parent=gene1038","Dbxref=Genbank:WP_014064843.1","Name=WP_014064843.1","Note=adds the O-linked and N-linked 3(R)-hydroxy fatty acids to the glucosamine disaccharide during lipid A biosynthesis","gbkey=CDS","gene=lpxD","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014064843.1","product=UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","Significant",1.911491172
"3",1.643698369,"cds1007",188.1383396,0.716945578,0.222564385,3.221295173,0.001276126,0.010303539,"ID=cds1007","Parent=gene1039","Dbxref=Genbank:WP_014064844.1","Name=WP_014064844.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439220.1","product=3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","protein_id=WP_014064844.1","transl_table=11","Significant",1.643698369
"4",2.251479607,"cds1009",50.68694364,1.170873411,0.385489115,3.037370875,0.002386516,0.017678756,"ID=cds1009","Parent=gene1041","Dbxref=Genbank:WP_014064845.1","Name=WP_014064845.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439218.1","product=lipid-A-disaccharide synthase","protein_id=WP_014064845.1","transl_table=11","Significant",2.251479607
"5",2.329593243,"cds1011",37.29982874,1.220078076,0.450832156,2.706280067,0.006804164,0.03981563,"ID=cds1011","Parent=gene1043","Dbxref=Genbank:WP_014064847.1","Name=WP_014064847.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005719535.1","product=SLC13 family permease","protein_id=WP_014064847.1","transl_table=11","Significant",2.329593243
"6",0.433226284,"cds1013",1032.240048,-1.206807321,0.156355997,-7.718330908,1.18e-14,1.64e-12,"ID=cds1013","Parent=gene1045","Dbxref=Genbank:WP_014064849.1","Name=WP_014064849.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005698683.1","product=aspartate ammonia-lyase","protein_id=WP_014064849.1","transl_table=11","Significant",2.3082625337663
"7",0.591276995,"cds1014",234.0330458,-0.758093947,0.213235262,-3.555199731,0.000377692,0.003994469,"ID=cds1014","Parent=gene1046","Dbxref=Genbank:WP_005629492.1","Name=WP_005629492.1","Note=10 kDa chaperonin%3B Cpn10%3B GroES%3B forms homoheptameric ring%3B binds to one or both ends of the GroEL double barrel in the presence of adenine nucleotides capping it%3B folding of unfolded substrates initiates in a GroEL-substrate bound and capped by GroES%3B release of the folded substrate is dependent on ATP binding and hydrolysis in the trans ring","gbkey=CDS","gene=groES","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438700.1","product=molecular chaperone GroES","Significant",1.69125470541941
"8",0.462664218,"cds1015",3076.934288,-1.111962569,0.133392024,-8.336049888,7.68e-17,1.3e-14,"ID=cds1015","Parent=gene1047","Dbxref=Genbank:WP_005696764.1","Name=WP_005696764.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438701.1","product=chaperonin GroEL","protein_id=WP_005696764.1","transl_table=11","Significant",2.16139472449975
"9",0.712854069,"cds1018",785.663252,-0.488321327,0.172181703,-2.836081408,0.00456708,0.029406601,"ID=cds1018","Parent=gene1050","Dbxref=Genbank:WP_014064852.1","Name=WP_014064852.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438975.1","product=universal stress protein UspA","protein_id=WP_014064852.1","transl_table=11","Significant",1.40281166018006
"10",0.550871889,"cds1019",1393.837712,-0.86021125,0.141535342,-6.077713449,1.22e-09,6e-08,"ID=cds1019","Parent=gene1051","Dbxref=Genbank:WP_014064853.1","Name=WP_014064853.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438974.1","product=alanine--tRNA ligase","protein_id=WP_014064853.1","transl_table=11","Significant",1.81530410240266
