"","fold.change","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","parent","Genbank","name_wp","CDS","inference","gene_description","protein","trans_table","sig","fold_change_scaled"
"1",0.635393978,"cds0",1526.430156,-0.654276678,0.146288824,-4.472499412,7.73e-06,0.00014214,"ID=cds0","Parent=gene0","Dbxref=Genbank:WP_014063969.1","Name=WP_014063969.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014326504.1","product=type I glyceraldehyde-3-phosphate dehydrogenase","protein_id=WP_014063969.1","transl_table=11","Significant",1.57382668804582
"2",1.74615121,"cds1",32.35124364,0.804178496,0.477128347,1.68545529,0.091900764,0.294470373,"ID=cds1","Parent=gene1","Dbxref=Genbank:WP_014063970.1","Name=WP_014063970.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005695619.1","product=long-chain fatty acid--CoA ligase","protein_id=WP_014063970.1","transl_table=11","Not significant",1.74615121
"3",1.718290914,"cds100",6.980668162,0.780974312,0.958471664,0.814812102,0.415179872,NA,"ID=cds100","Parent=gene100","Dbxref=Genbank:WP_050797950.1","Name=WP_050797950.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_009499717.1","product=tRNA adenosine(34) deaminase TadA","protein_id=WP_050797950.1","transl_table=11",NA,1.718290914
"4",1.163788842,"cds1000",69.31417241,0.218829319,0.325498075,0.67229067,0.501398668,0.775212125,"ID=cds1000","Parent=gene1032","Dbxref=Genbank:WP_014064837.1","Name=WP_014064837.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014064837.1","product=1-deoxy-D-xylulose-5-phosphate reductoisomerase","protein_id=WP_014064837.1","transl_table=11","Not significant",1.163788842
"5",1.980999463,"cds1001",33.16827765,0.986228489,0.457869253,2.153952208,0.03124392,0.133913904,"ID=cds1001","Parent=gene1033","Dbxref=Genbank:WP_014064838.1","Name=WP_014064838.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439080.1","product=di-trans%2Cpoly-cis-decaprenylcistransferase","protein_id=WP_014064838.1","transl_table=11","Not significant",1.980999463
"6",0.924263065,"cds1002",32.96084079,-0.113624563,0.465875002,-0.243894955,0.807312177,0.937452403,"ID=cds1002","Parent=gene1034","Dbxref=Genbank:WP_014064839.1","Name=WP_014064839.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439079.1","product=CDP-archaeol synthase","protein_id=WP_014064839.1","transl_table=11","Not significant",1.08194305048855
"7",1.246829937,"cds1003",79.97449318,0.3182647,0.306867297,1.037141147,0.299670081,0.604090547,"ID=cds1003","Parent=gene1035","Dbxref=Genbank:WP_014064840.1","Name=WP_014064840.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014064840.1","product=sigma E protease regulator RseP","protein_id=WP_014064840.1","transl_table=11","Not significant",1.246829937
"8",0.765534664,"cds1004",188.8617422,-0.385460389,0.224859756,-1.714225773,0.086487269,0.281406339,"ID=cds1004","Parent=gene1036","Dbxref=Genbank:WP_014064841.1","Name=WP_014064841.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439077.1","product=outer membrane protein assembly factor BamA","protein_id=WP_014064841.1","transl_table=11","Not significant",1.30627657639289
"9",1.105306531,"cds1005",135.4724135,0.144446523,0.245605854,0.58812329,0.556449541,0.806543631,"ID=cds1005","Parent=gene1037","Dbxref=Genbank:WP_014064842.1","Name=WP_014064842.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014064842.1","product=membrane protein","protein_id=WP_014064842.1","transl_table=11","Not significant",1.105306531
"10",1.911491172,"cds1006",172.3919546,0.934698537,0.230851904,4.048909801,5.15e-05,0.000665449,"ID=cds1006","Parent=gene1038","Dbxref=Genbank:WP_014064843.1","Name=WP_014064843.1","Note=adds the O-linked and N-linked 3(R)-hydroxy fatty acids to the glucosamine disaccharide during lipid A biosynthesis","gbkey=CDS","gene=lpxD","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014064843.1","product=UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","Significant",1.911491172
